[[93, 138, 168], 'Easy']
[[0, 48, 143], 'Easy']
[[114, 160, 193], 'Easy']
[[163, 38, 56], 'InsaneDemon']
[[240, 248, 255], 'Unrated']
[[227, 38, 54], 'Demon']
[[196, 98, 16], 'Harder']
[[239, 222, 205], 'Unrated']
[[229, 43, 80], 'Demon']
[[255, 191, 0], 'Auto']
[[255, 126, 0], 'Harder']
[[255, 3, 62], 'Demon']
[[153, 102, 204], 'EasyDemon']
[[164, 198, 57], 'Normal']
[[242, 243, 244], 'Unrated']
[[205, 149, 117], 'Harder']
[[145, 92, 131], 'Insane']
[[132, 27, 45], 'ExtremeDemon']
[[250, 235, 215], 'Unrated']
[[0, 128, 0], 'Normal']
[[141, 182, 0], 'Normal']
[[251, 206, 177], 'Unrated']
[[0, 255, 255], 'Easy']
[[127, 255, 212], 'Normal']
[[75, 83, 32], 'Normal']
[[59, 68, 75], 'Easy']
[[233, 214, 107], 'Hard']
[[178, 190, 181], 'Unrated']
[[135, 169, 107], 'Normal']
[[255, 153, 102], 'Harder']
[[165, 42, 42], 'InsaneDemon']
[[253, 238, 0], 'Hard']
[[110, 127, 128], 'Unrated']
[[86, 130, 3], 'Normal']
[[0, 127, 255], 'Easy']
[[240, 255, 255], 'Unrated']
[[137, 207, 240], 'Easy']
[[161, 202, 241], 'Easy']
[[244, 194, 194], 'MediumDemon']
[[33, 171, 205], 'Easy']
[[250, 231, 181], 'Auto']
[[255, 225, 53], 'Hard']
[[124, 10, 2], 'ExtremeDemon']
[[132, 132, 130], 'Unrated']
[[152, 119, 123], 'Insane']
[[188, 212, 230], 'Easy']
[[159, 129, 112], 'Harder']
[[245, 245, 220], 'Unrated']
[[156, 37, 66], 'InsaneDemon']
[[255, 228, 196], 'Hard']
[[61, 43, 31], 'EasyDemon']
[[254, 111, 94], 'Harder']
[[191, 79, 81], 'Harder']
[[0, 0, 0], 'Unrated']
[[61, 12, 2], 'MediumDemon']
[[37, 53, 41], 'Normal']
